book-title,author,price,old-price,Cover type,availability
The Mother,T.M. Logan,£8.99,no old price,Paperback,In stock online
Megamonster,David Walliams,  £6.49,£7.99,Paperback,In stock online
Butterfly Kite,House of Marbles,£5.99,no old price,Toy,In stock online
Water Magic… ,James Galt Ltd      ,£6.99,no old price,General merchandise,In stock online
Man's Search… ,Viktor E Frankl,£10.99,no old price,Paperback,In stock online
Questions for… ,Alex Gray,£8.99,no old price,Paperback,In stock online
Grand Central… ,Gibson Hanson Graphics,£2.99,no old price,Cards,In stock online
My Account,Coleen Rooney,  £11.00,£22.00,Hardback,In stock online
Twilight,Stephenie Meyer,£9.99,no old price,Paperback,In stock online
Glutton,Ed Gamble,  £10.00,£20.00,Hardback,In stock online
Slimming Eats… ,Siobhan Wightman,  £14.99,£20.00,Hardback,In stock online
The Travelling… ,Hiro Arikawa,£9.99,no old price,Paperback,In stock online
How Not to Age,Michael Greger,  £18.99,£22.00,Hardback,In stock online
The Pairing,Casey McQuiston,£18.99,no old price,Hardback,Pre-order
Finding Hildasay,Christian Lewis,  £9.49,£10.99,Paperback,In stock online
Milk and Honey,Rupi Kaur,£9.99,no old price,Paperback,In stock online
The Girl of… ,Kiran Millwood Hargrave,£7.99,no old price,Paperback,In stock online
Lindor Milk… ,Lindt Ltd           ,£2.99,no old price,General merchandise,
Funny Story,Emily Henry,£18.99,no old price,Hardback,Pre-order
The Storyteller,Dave Grohl,£10.99,no old price,Paperback,In stock online
A Spy Alone,Charles Beaumont,£9.99,no old price,Paperback,In stock online
House of… ,Sarah J. Maas,£22.00,no old price,Hardback,
The Rest is… ,Goalhanger Podcasts,£18.99,no old price,Hardback,
North Woods,Daniel Mason,£16.99,no old price,Hardback,In stock online
It's OK To Be… ,Bernie Sanders,  £9.49,£10.99,Paperback,In stock online
The Littlest… ,Lu Fraser,  £6.49,£7.99,Paperback,In stock online
The Sunlit Man,Brandon Sanderson,£22.00,no old price,Hardback,Pre-order
Oi Frog!,Kes Gray,£6.99,no old price,Paperback,In stock online
