num_of_people_rated,rating,discount,new_price,old_price,item name
4.1 out of 5(30),4.1 out of 5,,"₦ 8,000",,Children's Sport Casual Comfortable Boy & Girl School Sneakers Shoe-Black
3 out of 5(1),3 out of 5,,"₦ 10,700",,SPORT Men Football Soccer Boot Black
4.6 out of 5(32),4.6 out of 5,,"₦ 8,000",,Fuce Boys Casual School Men Sandal-black
3.4 out of 5(24),3.4 out of 5,43%,"₦ 16,600 - ₦ 17,900","₦ 26,000 - ₦ 29,000",Black Classic Men's Fashion Shoes
4 out of 5(6),4 out of 5,47%,"₦ 16,000","₦ 30,000",Mens  Leather Half Shoe - Black
4.3 out of 5(6),4.3 out of 5,37%,"₦ 18,600","₦ 29,500",DEPALLY CHAIN  IRON TIE DESIGNERS SHOES BLACK
4.2 out of 5(12),4.2 out of 5,,"₦ 5,700",,5 Layer Shoe Rack
4.7 out of 5(12),4.7 out of 5,55%,"₦ 16,038","₦ 35,639",ADIDAS Core Sport Shoes Kids Tensaur I
4.4 out of 5(5),4.4 out of 5,41%,"₦ 13,980","₦ 23,800",VANGELO ITALIAN LEATHER BLACK  SHOE
4.7 out of 5(16),4.7 out of 5,61%,"₦ 15,500","₦ 39,800",New Arrival TRANING Boots BLACK
3.7 out of 5(3),3.7 out of 5,42%,"₦ 6,999","₦ 12,000",Girls Cheap Black Casual - 2023 Running  School Sneakers - Black
4.5 out of 5(4),4.5 out of 5,43%,"₦ 17,000","₦ 30,000",Mens Formal Half Shoes Party Footwear-White
4 out of 5(3),4 out of 5,50%,"₦ 17,980","₦ 35,800",Depally MEN'S CLASSIC BROGUE TIE DESIGNER SHOE BROWN
4 out of 5(6),4 out of 5,43%,"₦ 16,980","₦ 29,800",MEN CONFIRM CRACK LEATHER  DESIGNERS SHOE BLACK
3.8 out of 5(19),3.8 out of 5,21%,"₦ 7,400 - ₦ 7,500","₦ 8,500 - ₦ 9,500",Unique Female Flat Shoe-Black
4.6 out of 5(12),4.6 out of 5,5%,"₦ 5,700","₦ 6,000",Back To School Children Shoe With Free Pair Of Socks
4.2 out of 5(5),4.2 out of 5,15%,"₦ 16,950","₦ 20,000","Hat & Shoe Rack( For Bag, Cap, Multipurpose Use )"
3.8 out of 5(106),3.8 out of 5,33%,"₦ 6,500","₦ 9,670","Men's Casual Shoes Soft Leather, Soft Sole, Breathable Shoes -Black"
5 out of 5(6),5 out of 5,37%,"₦ 18,700","₦ 29,800",Vangelo DOUBLE BUKKLE CRACK DESIGNERS SHOE BLACK
3.7 out of 5(7),3.7 out of 5,,"₦ 7,999",,Kids Boys Children Loafers-black Shoe
4 out of 5(4),4 out of 5,68%,"₦ 8,999","₦ 28,000",Simple New Men's Brighton Sneaker Canvas - Shoe
4 out of 5(1),4 out of 5,61%,"₦ 14,800","₦ 38,000",New Arrival FOOTBALL Boot MULTI
3.8 out of 5(6),3.8 out of 5,,"₦ 13,000",,Men's Foreign Half Shoe
4.4 out of 5(17),4.4 out of 5,60%,"₦ 15,280","₦ 38,200",ADIDAS Core Sport Shoes Kids Advantage I
3.9 out of 5(49),3.9 out of 5,66%,"₦ 10,300","₦ 30,000",Varrati [NEW] Mens Leisure Dress Italian Leather Wedding Shoes Burgundy Red
4.3 out of 5(20),4.3 out of 5,28%,"₦ 11,999","₦ 16,563",Single Row Multi-Tiers Simple Shoe Rack
4 out of 5(23),4 out of 5,13%,"₦ 6,980","₦ 7,980",Unique  Flat Shoe - Black
4.8 out of 5(18),4.8 out of 5,60%,"₦ 20,407","₦ 51,017",ADIDAS Core Sneakers Kids Grand Court K
5 out of 5(1),5 out of 5,37%,"₦ 17,600","₦ 27,800",DEPALLY BROGUE SHINING TIE DESIGNERS SHOE BLACK
4.5 out of 5(2),4.5 out of 5,50%,"₦ 5,999","₦ 12,000",Men'S Men Shoes Fashion Trendy  Skate Sneakers Shoes - Red
4.4 out of 5(15),4.4 out of 5,,"₦ 9,800",,30-Pair Executive Stackable Shoe Rack-
4.2 out of 5(33),4.2 out of 5,73%,"₦ 12,150","₦ 45,000",FOLLETEL NEW Mens Office Wedding Leisure Italian Leather Shoe Black F63
4.5 out of 5(2),4.5 out of 5,47%,"₦ 7,400","₦ 14,000",Beautiful Sturdy Girls Shimmer Shoe
4.3 out of 5(6),4.3 out of 5,37%,"₦ 18,700","₦ 29,800",Vangelo DOUBLE BUKKLE SUEDE  SHOE BLACK
3.1 out of 5(15),3.1 out of 5,51%,"₦ 5,900","₦ 12,000",Unisex Velcro School Canvas In Black
4.3 out of 5(41),4.3 out of 5,,"₦ 12,000",,Safety Boots (leather And Steel Toe)
4 out of 5(3),4 out of 5,,"₦ 8,849",,Cool Men Suede Canvas Shoes
4.4 out of 5(5),4.4 out of 5,48%,"₦ 25,999 - ₦ 26,999","₦ 50,000",Men'S Formal Coprate Styled Leather Shoe - Black Office Shoe + Shoe Box
4.3 out of 5(24),4.3 out of 5,67%,"₦ 9,999 - ₦ 12,500","₦ 30,000",Varrati Men Classy Design Masculine Suede Leather Shoe - Black
3.3 out of 5(3),3.3 out of 5,23%,"₦ 13,800","₦ 18,000",Classic Fashionable Men's Half Shoe
4.1 out of 5(73),4.1 out of 5,44%,"₦ 24,999","₦ 45,000",Exquisite Multi-Layers Wooden Shoe Rack- 5 Layers- Black
5 out of 5(7),5 out of 5,55%,"₦ 22,958","₦ 51,017",ADIDAS Sports Performance Sport Shoes Kids Advantage K
,,38%,"₦ 36,315","₦ 43,500 - ₦ 58,845",Men's Business Leather Shoes
