num_of_people_rated,rating,discount,new_price,old_price,item name
,,46%,"₦ 33,733","₦ 62,866",New Soft Sole Children's High-end LED Sneakers Breathable Berniso Sneakers Boys And Girls-White
,,50%,"₦ 5,999","₦ 12,000",Ladies Everything Ladies Simple Casual Outdoor Everyday Walking Sneakers- Comfortable Shoes- Black
4 out of 5(1),4 out of 5,50%,"₦ 7,499","₦ 15,000",Highly Unique Male Child Shoe
,,60%,"₦ 40,000","₦ 100,000",Bai Lemonade Variety Pack(15 Bottles)
,,40%,"₦ 15,000","₦ 25,000",Men's Shoes Leather Shoes Driving Walking Sneakers Men's
,,9%,"₦ 50,000","₦ 52,000 - ₦ 55,000",Clarks Fixed Buckled Coporate Shoe
,,45%,"₦ 31,300","₦ 56,600",Girl Boots Fashion Children's Leather Boots-Black And White
,,45%,"₦ 32,052","₦ 58,182",Flangesio Men Luxury Leather Dress Shoes Mens Oxfords Daily Office Business Shoes Mens Fashion Loafers Casual Leather Height Increase Low Top Man Platform Shoes EUR Size 38-46
,,48%,"₦ 43,698 - ₦ 59,421","₦ 83,916 - ₦ 112,903",Children's Mesh Basketball Shoes Breathable Sneakers-White Black
,,11%,"₦ 39,972","₦ 45,000",Men's Smooth Derby Lace-up Corporate Shoe
3.5 out of 5(11),3.5 out of 5,,"₦ 4,499",,5 Layers Shoe Rack
5 out of 5(1),5 out of 5,35%,"₦ 29,200","₦ 45,000",Polo Executive New Clark  Casuasl& Fashionable Shoe
,,,"₦ 6,000",,CHILDREN GIRLS SANDALS
,,39%,"₦ 5,800","₦ 9,500",Mens Cross Black Palm Slippers
5 out of 5(1),5 out of 5,25%,"₦ 8,999","₦ 12,000",9  Pairs NEW BORN TODDLER BOOTIES GIFT SET
5 out of 5(1),5 out of 5,50%,"₦ 5,999","₦ 11,999",Mens Sneakers - Men's Casual - Simple Shoes - Easy Wear
,,19%,"₦ 14,500","₦ 18,000",School Girls Leather Shoes
,,50%,"₦ 26,698 - ₦ 41,230","₦ 53,652 - ₦ 82,875",EUR38-44 H Dresser Leather Shoes Pointed Small Leather Shoes Handmade Wedding Shoes Small Suit Shoes Silver
,,50%,"₦ 25,300","₦ 50,500",Men's All-match Leather Shoes
,,45%,"₦ 31,747","₦ 57,494",Men's New Casual Leather Shoes Comfortable Brown
,,43%,"₦ 10,799","₦ 18,800",Men's Business Leather Shoes
5 out of 5(1),5 out of 5,50%,"₦ 32,100 - ₦ 37,100","₦ 64,200 - ₦ 74,200",British Style Casual Trend Martin Shoes For Boys And Girls-Black
,,57%,"₦ 6,495","₦ 15,000",HIGHLY DIGNIFYING MALE CHILD SHOE
5 out of 5(1),5 out of 5,,"₦ 7,500",,Ladies Black Banana Flat Shoe
,,53%,"₦ 8,999 - ₦ 9,999","₦ 18,999",Fashionable Men's Cheap Casual Shoe Sneakers - Multicolor
,,,"₦ 4,500",,Back To School Shoe For Boy
3 out of 5(1),3 out of 5,58%,"₦ 25,000","₦ 60,000",Mens Suede Martin Brock Boot Bullock Formal Dress Shoes Leather Shoes Black
,,,"₦ 3,000",,Pep & Co Flamingo Pink Flip Flop Slippers
,,20%,"₦ 30,657","₦ 38,322",(black)Classic Men Dress Shoes Slip On Black Leather Shoes For Men Plus Size Point Toe Business Casual Men Formal Shoes For Wedding JIN
,,50%,"₦ 20,740 - ₦ 29,515","₦ 41,480 - ₦ 59,030",Adroit Fashion HandMade Luxury Wingtip Sole Brogue Shoes - Black Formal Shoes
,,22%,"₦ 44,793","₦ 57,101",Leather Casual Shoes Crocodile Pattern Mens Half Loafers Breathable Half Shoes
5 out of 5(1),5 out of 5,50%,"₦ 43,600 - ₦ 51,300","₦ 87,200 - ₦ 102,600",Children's Leather Basketball Shoes Running Shoes-White
5 out of 5(2),5 out of 5,27%,"₦ 2,159","₦ 2,943",Sports Insoles Shoes Pad Silicone Soft Breathable Absorb Sweat Shoe Inserts-Black-45
5 out of 5(1),5 out of 5,15%,"₦ 53,142","₦ 62,300",EUR38-44 H Dresser Leather Shoes Pointed Small Leather Shoes Handmade Wedding Shoes Small Suit Shoes Black
2.5 out of 5(2),2.5 out of 5,50%,"₦ 15,000","₦ 30,000",Mens Half Shoes Formal Dress Sandals-White
,,42%,"₦ 6,999","₦ 11,999",Beautiful Black And White School Canvas For Girls - Casual Ladies Canvas
5 out of 5(1),5 out of 5,20%,"₦ 18,500","₦ 23,000",Quality Floor Hanger Single Poles
,,52%,"₦ 12,000","₦ 25,000",A PAIR OF ADJUSTABLE MEN SHOE TREE AND EXPANDER
5 out of 5(1),5 out of 5,25%,"₦ 7,500","₦ 10,000",Primark Girls Nude Slip On Sneakers
,,,"₦ 53,268 - ₦ 56,313",,Unisex Soccer Shoes Long Spikes TF Ankle Football Boots Outdoor Shoes size 35-44
,,20%,"₦ 29,751","₦ 37,189",(Hollow Black)Men's Leather Casual Shoes Brand Comfortable Dress Shoes For Men Lace Up Oxfords Shoes Fashion Mocassins Homme Plus Size 38-50 JIN
,,35%,"₦ 12,200","₦ 18,806","Men,Boys,Girls Primary School Students Youth Non-slip Low Top Football Sneakers"
,,51%,"₦ 18,200","₦ 37,000",DEPALLY MEN STONE DESIGNERS SHOE BLACK
,,21%,"₦ 35,649 - ₦ 35,650","₦ 45,100",Large Size Shoes Half Slippers Leather Shoes Leather Shoes Cover Feet 38-47
5 out of 5(1),5 out of 5,47%,"₦ 16,000","₦ 30,000",Mens Casual Half Shoes Party Footwear-Black Half Shoe For Men
,,50%,"₦ 31,800","₦ 63,500",Men's Brogue Formal Leather Shoes
5 out of 5(2),5 out of 5,,"₦ 13,000 - ₦ 16,000",,Football Sport Trainers Boots For Indoor And Outdoor Training Blue
,,30%,"₦ 24,236","₦ 34,600",Men's Casual Trend Outdoor Fashion All-match Leather Shoes-Black
,,55%,"₦ 22,958","₦ 51,017",ADIDAS Advantage Lifestyle Court Lace Shoes Kids
3.9 out of 5(62),3.9 out of 5,52%,"₦ 14,000","₦ 29,000",Varrati Men Matted Half Shoe With Tassel Design (M16) - Black
,,5%,"₦ 5,700","₦ 6,000",Back To School Children Shoe With Free Pair Of Socks
,,20%,"₦ 32,081","₦ 40,101",(black Cotton)Spring Autumn Men 2023new Pointed Toe Cover Shoe Low Upper Formal Dress Large Shoe Wedding Shoe Men Business Patent Leather Shoe JIN
,,20%,"₦ 35,445","₦ 44,307",(white Sneakers)Women's Sneakers Tennis Shoes For Women 2022 Canvas Hollow Casual Sport Design Platform Shoe Blue Non-Slip Fashion Lady Footwear OLD
5 out of 5(2),5 out of 5,41%,"₦ 28,500","₦ 48,000",New Men's Breathable Running Shoes Fashion Exercise Sneaker
,,38%,"₦ 35,000 - ₦ 43,300","₦ 56,000 - ₦ 69,280",Big Size 49 Size Mens Formal Shoes Business Oxford Shoes Leather Footwear Black
,,50%,"₦ 7,499","₦ 15,000",Unique And Classic Male Child Shoe
,,55%,"₦ 37,572","₦ 83,556",Flangesio New Classic Men Square Toe Formal Dress Shoes Mens Platform Leather+Mesh Oxfords Lace Up Thick Sole Male Casual Shoes Banquet Wedding Shoes Party Shoes White EUR Size 38-45
,,50%,"₦ 18,500","₦ 36,900",Men's Business Formal Leather Shoes
5 out of 5(2),5 out of 5,,"₦ 60,850",,"Safety Jogger LIGERO2 S1P ESD SRC LIGHTWEIGHT SAFETY SHOE, SAFETY BOOT"
,,10%,"₦ 45,500 - ₦ 55,500","₦ 46,000 - ₦ 56,000",Clarks Smart Patent Leather Shoe
3 out of 5(2),3 out of 5,37%,"₦ 21,657","₦ 34,600",Mens Casual Leather Wedding Dress Formal Shoes Loafers-Black
,,26%,"₦ 1,889","₦ 2,565",Disposable Hotel Travel Spa Slippers Useful Shoes For Adult Children's Wearing-white
,,68%,"₦ 19,194 - ₦ 51,195","₦ 60,720",Mens Good Quality PU Leather Zipper Design Casual Shoes  Ankle Boots -Brown
,,,"₦ 15,000",,Blueidea Quality Foot Massaging Slippers Size 45
4.2 out of 5(5),4.2 out of 5,,"₦ 54,850",,"Safety Jogger Milos MID-CUT S1P ESD SRC  LIGHTWEIGHT SAFETY SHOE, SAFETY BOOT"
,,50%,"₦ 37,543 - ₦ 38,843","₦ 75,086 - ₦ 77,686",Adroit Fashion Italian Handmade Mens Formal Shoes Slip On Calf Leather Oxfords Size 45 46 Top Quality Luxury Brogue Wedding Party Dress Shoes For Men Classic Style Leather Shoes Male Office Loafers Brown
4 out of 5(2),4 out of 5,,"₦ 5,600",,Stackable Shoe Rack (12 Pairs)
,,50%,"₦ 5,999","₦ 11,999",Ladies Comfortable Casual Sneakers - Women - Black
,,50%,"₦ 33,764","₦ 68,120",Mens Shoes Size 38-46 High Quality Oxofrds Formal Shoe-Black
,,61%,"₦ 10,999","₦ 28,000",Ladies Everything Beautiful Women Shoe: Sneakers/Canvas
4.3 out of 5(8),4.3 out of 5,,"₦ 59,550",,"Safety Jogger ECOLINA S3 S1P LIGHTWEIGHT SAFETY SHOE, SAFETY BOOT"
,,50%,"₦ 9,429","₦ 18,858",Children's Comfortable Sandals Outdoor Shoes
4.7 out of 5(3),4.7 out of 5,40%,"₦ 41,964","₦ 69,940",ADIDAS Originals Sneakers Teen Samba Og J
,,,"₦ 16,000",,Unique Shoe And Bag Racks
3 out of 5(1),3 out of 5,,"₦ 5,500 - ₦ 5,800",,Boys School Shoe White
,,35%,"₦ 27,000","₦ 41,299",Kids Casual Shoes Unisex Sandals Clogs Mixed Color Letters Rubber Slippers Children Beach Shoes
,,38%,"₦ 40,588 - ₦ 45,998","₦ 64,999",Size 38-44 Men’s Brogue Oxford Patent Leather Shoes Slip-On Loafer Tassel -Black
4 out of 5(1),4 out of 5,25%,"₦ 7,500","₦ 10,000",Primark Unisex Classic Canvas Low-Cut Lace-Up Trainers
5 out of 5(1),5 out of 5,50%,"₦ 7,495","₦ 15,000",HIGHLY DIGNIFYING MALE CHILD SHOE
,,25%,"₦ 15,000","₦ 20,000",Men's Simple Half Shoe - Black
5 out of 5(1),5 out of 5,23%,"₦ 33,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,,"₦ 13,500",,Boys Girls Children Sneakers
,,42%,"₦ 40,830","₦ 70,397",Toddler Infant Kids Baby Girls Wedge Cosplay Party Single Princess Shoes Sandals Children High Heel Girls Shoes Performance Prop WH
,,53%,"₦ 8,999","₦ 18,999",Ladies Everything Ladies Simple Casual Fashion Outdoor Sport Sneakers - Classy Female Jogging Shoe
,,23%,"₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
5 out of 5(2),5 out of 5,1%,"₦ 19,000 - ₦ 19,200","₦ 19,200",Symphony School Shoe For Girls (Leather)
,,63%,"₦ 22,800","₦ 62,000",Sports Kids Low Top Outdoor Football Shoes
,,20%,"₦ 30,657","₦ 38,322",(Brown)Italian Black Formal Shoes Men Loafers Wedding Dress Shoes Patent Leather Oxford Shoes For Men's Leather Shoes Zapatos De Hombre JIN
,,8%,"₦ 55,000","₦ 60,000",Clarks Classy Men's Corporate Shoe - Brown
,,33%,"₦ 28,005","₦ 42,008",Unisex Water Shoes Outdoor Climbing Shoes-Blue
,,21%,"₦ 27,116","₦ 34,220",Boys Sandals For Kids Shoes Summer Children Beach Shoes Mixed Color Casual Sandals Rubber Anti-slip Outdoor Girls Sports Sandals
,,50%,"₦ 25,999","₦ 51,998",Sports Shoes Children Flash Sneakers Kids Children's Boys
5 out of 5(1),5 out of 5,36%,"₦ 16,000","₦ 25,000",Men's Half Shoe With Buckle - Black
,,50%,"₦ 36,981","₦ 73,450",Girls Sports Sweet Princess All-match Comfortable Casual Board Shoes White
,,24%,"₦ 6,500","₦ 8,500",2021  New Children's Shoes Breathable Sport Shoes
,,50%,"₦ 50,778","₦ 101,556",New Men's Cozy Damping Running Cushion Shoes Fashion Breathable Sneaker
,,,"₦ 4,500",,Quality Ladies Brown Flat Shoe Women Shoe
3 out of 5(1),3 out of 5,43%,"₦ 16,500","₦ 28,700",Depally Men BEE UP Stone Designers Shoe Black/GOLD
,,50%,"₦ 51,800","₦ 103,600",Men's Casual Cloth Shoes Male Running Sneakers Men's Loafers Gray
4.5 out of 5(2),4.5 out of 5,,"₦ 24,750",,Formal Shoes For Men Suede Leather Shoes Business Wedding Footwear Blue
,,50%,"₦ 17,100","₦ 34,100",Men's All-match Leather Shoes
,,,"₦ 15,000",,Children Unique School/formal Shoe
,,,"₦ 8,000 - ₦ 9,800",,Going Back To School Quality Children Shoes Black
,,50%,"₦ 60,141","₦ 120,282",Men's Thick-Soled Pointed Leather Shoes Hair Stylist Work Shoes
,,,"₦ 5,500",,Children's School Shoe White
,,,"₦ 5,500",,Children's School Shoe White
4.6 out of 5(5),4.6 out of 5,,"₦ 6,500 - ₦ 8,500",,Unisex Children's Canvass - White
4 out of 5(1),4 out of 5,13%,"₦ 6,500","₦ 7,500",Balllet Shoe - White Colour
5 out of 5(1),5 out of 5,,"₦ 7,999",,Toddler Girl Soft  Soled Floral Shoe With Bow
,,30%,"₦ 14,000","₦ 20,000",Outstanding Half Shoe
,,45%,"₦ 10,999","₦ 20,000",Ladies Everything Ladies Casual Comfortable Easy Wear Sneakers Activity Fashion -size
5 out of 5(1),5 out of 5,,"₦ 6,500",,Toddler Boys High Top Soft Bottom Shoes/brown
,,25%,"₦ 46,899 - ₦ 49,644","₦ 62,700",Men Formal Party Business Leather Office British Dress Italian Shoes Male 467H
,,51%,"₦ 21,816","₦ 44,850", wear-resistant thiwaterproof shoe cover student outdoor shoe cover
4 out of 5(16),4 out of 5,38%,"₦ 38,300 - ₦ 40,200","₦ 61,280 - ₦ 64,320",Men's Formal Shoes Alligator Leather Loafers Tassel Business Casual Moccasins
1 out of 5(1),1 out of 5,10%,"₦ 1,620","₦ 1,800",Shoe Sensei Deodorizer And Freshener Balls - Fresh Linen
,,19%,"₦ 14,500","₦ 18,000",School Girls Leather Shoes
,,16%,"₦ 33,020","₦ 39,370",Football Boots Adult/Kids Training Football Boots Black
,,67%,"₦ 22,750","₦ 69,480",Children Girls Fashion Sandals Summer New White
,,20%,"₦ 32,340","₦ 40,425",(brown)Pattern Leather Dress Shoes For Men Classic Italian Casual Party Wedding Loafer  Slip-on Suit Footwear ACU
,,42%,"₦ 38,530","₦ 66,431",Summer Girls Sandals Fashion Princess Kids Beach Shoes Rivets Breathable Cut-outs Classic Children's Gladiators Pointed-toe Red
,,65%,"₦ 35,000","₦ 100,000",Mens Casual Half Shoes Party Footwear-Black Half Shoe For Men
,,42%,"₦ 40,070","₦ 69,120",Spring High-Grade Dr. Martens Boots British Style Formal Wear Business Wedding Bridegroom Leather Shoes Men's Big Head Workwear ACU
,,42%,"₦ 40,030","₦ 69,120",Spring High-Grade Dr. Martens Boots British Style Formal Wear Business Wedding Bridegroom Leather Shoes Men's Big Head Workwear ACU
,,5%,"₦ 55,060","₦ 58,182",Flangesio Men Luxury Leather Dress Shoes Mens Oxfords Daily Office Business Shoes Mens Fashion Loafers Casual Leather Height Increase Low Top Man Platform Shoes EUR Size 38-46
,,50%,"₦ 30,600","₦ 61,100",Men's Fashion High Top Martin Boots
,,58%,"₦ 33,730 - ₦ 50,945","₦ 79,418",Half  Drag Snake Grain  Men's Leather Shoes-Black
,,31%,"₦ 35,420","₦ 51,020",Men Soccer Shoes AG High Ankle Football Boots Men Sneakers
,,44%,"₦ 29,300 - ₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
,,,"₦ 15,500",,Kids Girls Lovely Shiny Sandals-Pink
,,52%,"₦ 25,990 - ₦ 31,990","₦ 54,579 - ₦ 67,179",Kid's Non-slip Warm Plush Sports Shoes Casual Running Shoes-Black White
5 out of 5(1),5 out of 5,44%,"₦ 16,700","₦ 29,800",Depally MEN STONE TIE DESIGNERS SHOE BLACK
,,,"₦ 9,800",,Girls Cute Flowery Platform Rubber Soled Sandals
,,,"₦ 8,700",,Girls Children Stylish T-strap Shoes Gray
,,42%,"₦ 61,890","₦ 106,706",Brand Plus Size 35-46 Steel Toecap Women Men Work & Safety Boots Steel Mid Sole
,,,"₦ 7,999",,"Baby Girl, Princess Flat Shoe"
,,50%,"₦ 33,764 - ₦ 41,230","₦ 65,000 - ₦ 81,250",Plus Size 38-48 Men Formal Shoes Business Casual Leather Shoes Lace-Up Leather Shoes
,,68%,"₦ 6,440","₦ 20,320","Thickened shoe box, transparent plastic clamshell shoe rack, space-saving dormitory storage artifact, household large shoe storage box Round hole large angel white"
4 out of 5(1),4 out of 5,18%,"₦ 15,500","₦ 19,000",Oleg Quality Ladies Italian Shoes /Silver Colour
,,50%,"₦ 20,100","₦ 40,100",Men's All-match Leather Shoes
,,,"₦ 14,999",,Sports Unisex Sneaker  LED Light Woven Shoes
4 out of 5(1),4 out of 5,13%,"₦ 12,999","₦ 15,000",Kid's High-top Leather Non-slip Martin Boots
,,39%,"₦ 17,590","₦ 28,700",Depally STAR STONE DOT  DESIGNER SHOE BLACK
,,20%,"₦ 34,410","₦ 43,013",(Black Hollow)New Summer Sandals Mens PU Leather Buckle Hollow Breathble High Heels Mens Shoes Casual Rome Style Trendy Shoes For Men Zapat JIN
,,21%,"₦ 49,990","₦ 63,166",Male Shoes Vintage Men Leather Shoes Pointed Business Shoes Office Dress Shoes Black
,,38%,"₦ 39,700","₦ 63,520",Men's Thick-Soled Pointed Leather Shoes Business Shoes Black
,,17%,"₦ 10,000","₦ 12,000",Lace Up Boy Sneakers
3 out of 5(1),3 out of 5,50%,"₦ 2,500","₦ 5,000",2pairs Shoe Odour Remover Deodorizer Air/home Odour Purifying Bag
,,27%,"₦ 42,458","₦ 58,125",Men's Plus Size Formal Business Dress Leather Shoes - Black
,,50%,"₦ 22,305","₦ 44,610",All-match Children's Shoes With Light Cartoon Bows Soft Soles Girls' Shoes White
,,20%,"₦ 29,221","₦ 36,561",(Black Hollow)New Summer Sandals Mens PU Leather Buckle Hollow Breathble High Heels Mens Shoes Casual Rome Style Trendy Shoes For Men Zapat JIN
,,44%,"₦ 22,510 - ₦ 22,630","₦ 40,020 - ₦ 40,260",Children Girls Fashion Sandals Summer New White
,,29%,"₦ 8,500","₦ 12,000",Kelsi Girls Blue Slip On Sneakers
,,30%,"₦ 24,087","₦ 34,600",Formal Shoes Mens Half Shoes Casual Loafers Sandals White
4 out of 5(4),4 out of 5,,"₦ 6,500",,Quality Ladies Black Flat Shoe
,,18%,"₦ 27,559","₦ 33,576",Men's New Fashion Professional Work Shoes - White
,,40%,"₦ 3,000","₦ 5,000",Character Girl Slippers - Pink
,,42%,"₦ 33,650","₦ 58,086",(Black)Summer High-Grade Dr. Martens Boots British Formal Wear Business Wedding Bridegroom Leather Shoes Men's Height Increasing Leathe ACU
,,23%,"₦ 33,990 - ₦ 41,990","₦ 43,990 - ₦ 51,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,42%,"₦ 38,930","₦ 67,121",Summer Girls Beach Sandals Children Fashion Korean Sandals Boots Roman Princess Shoes Children 3-8 Years Old Shoes Casual White
5 out of 5(1),5 out of 5,50%,"₦ 41,304","₦ 82,940",Mens Leather Slip On Color Matching Male Casual Shoes Big Size Black
,,42%,"₦ 31,030","₦ 53,500",Boys Girls Sport Beach Sandals Summer Kids Shoes With Light LED Hole Sandals Children Brand Fashion Sneakers  Photo Color
,,50%,"₦ 34,420 - ₦ 35,871","₦ 68,840 - ₦ 71,742",Men's Breathable Basketball Sneakers Trend Boy's Basketball Shoes Hight Cut Outdoor BasketBall Shoes For Men Shoes
,,48%,"₦ 29,450","₦ 56,300",Children Girls Fashion Sandals Summer New White
,,30%,"₦ 24,087","₦ 34,600",Formal Shoes Mens Half Shoes Casual Loafers Sandals Brown
,,51%,"₦ 19,884","₦ 40,250",Anti-slip Covers for Shoes Reusable Cycling Overshoes Non-slip Washable Shoe Cover Dust-Proof Waterproof Sneakers for Men Women
,,45%,"₦ 27,772","₦ 50,727",Luxury Fashion Formal Shoes Men Loafers High Quality Suede Leather Shoes Mens Flats Driving Shoes Big Size 48
4.3 out of 5(3),4.3 out of 5,70%,"₦ 8,999","₦ 30,000",Varrati 2022 Men's Leather Shoes + Suede-Black Lace Up
4.3 out of 5(3),4.3 out of 5,63%,"₦ 10,500","₦ 28,500",Varrati Men Italian Office Leather Luxury Wedding Shoes Burgundy Red
,,46%,"₦ 21,689","₦ 40,250",1Pack/100 Pcs Portable Waterproof Boot Covers Plastic Non-slip Wear Disposable Shoe Covers Overshoes Rain Shoe Covers Mud-proof
,,20%,"₦ 4,000","₦ 5,000",Summertime Boy Slides- Black
,,60%,"₦ 50,100","₦ 125,250",Flangesio Top Quality Pointed Toe Leather Shoes For Men Casual Business Shoes Lace Up Formal Office Work Shoes For Male Party Wedding Oxfords Black EUR Size 38-46
,,19%,"₦ 19,500","₦ 24,000",Unisex Quality CROCS /Navy Blue & White Colour
,,33%,"₦ 46,153","₦ 68,509",Men's Large Size Pointed Toe Carved Leather Brown Shoes
,,50%,"₦ 32,000","₦ 64,000",Mens Shoes Brogues Slip-On Loafers British Style Tassel Leather Shoes Black
4.5 out of 5(2),4.5 out of 5,27%,"₦ 26,000","₦ 35,500",Men's Sophisticated Shoes - Office Corporate Occasions - Black
5 out of 5(1),5 out of 5,42%,"₦ 6,990","₦ 12,000",11 Pieces Of Random Fine Jibitz Charm For Crocs
,,21%,"₦ 38,160","₦ 48,160",Men Soccer Shoes AG High Ankle Football Boots MenSneakers-Blue
,,20%,"₦ 34,669","₦ 43,336",(Wine Red)Office Men Dress Shoes Floral Pattern Men Formal Shoes Leather Luxury Fashion Groom Wedding Shoes Men Oxford Shoes Dress 37-50 ACU
3.5 out of 5(2),3.5 out of 5,,"₦ 4,400",,Girls Leather Dress/School Shoe -black
,,,"₦ 9,500",,Girls Pearl Crystal Party Shoe
4.4 out of 5(79),4.4 out of 5,32%,"₦ 13,880","₦ 20,369",Children Shoes For Boys Lace Up Brogues Shoe-Black
,,,"₦ 6,999",,Baby Girl Floral Sandals
5 out of 5(1),5 out of 5,59%,"₦ 15,300","₦ 37,000",Mens Football Boots
4.5 out of 5(11),4.5 out of 5,1%,"₦ 4,999","₦ 5,000",Cute Cartoon Non-slip Sandals For Girls-pink
4.5 out of 5(11),4.5 out of 5,1%,"₦ 4,999","₦ 5,000",Cute Cartoon Non-slip Sandals For Girls-pink
4.8 out of 5(5),4.8 out of 5,35%,"₦ 10,800","₦ 16,700",New Princess Shoes Girls Bow-Tie Party Dance Shoe-Black
,,52%,"₦ 30,990 - ₦ 39,990","₦ 65,079 - ₦ 83,979",Kid's Basketball Shoes Non-slip High-top Sneakers-Black
,,37%,"₦ 18,790","₦ 29,600",Men STRAIGHT CHAIN LEATHER Shoe Black
5 out of 5(2),5 out of 5,,"₦ 43,780",,"Safety Jogger YUKON S1P SRC SAFETY SHOE, SAFETY BOOT"
,,49%,"₦ 16,900","₦ 33,000",Vangelo PURE LEATHER DESIGNERS SHOES BLACK
,,37%,"₦ 18,700","₦ 29,800",Vangelo CRACK CLASSIC SHOE BLACK
4.3 out of 5(6),4.3 out of 5,,"₦ 7,000",,Original Girls Flat School Shoe - For Matured Girls
,,,"₦ 75,000",,Oggi Flat Senior Man Shoe
,,,"₦ 54,000",,Clarks Legend Leather  Shoe
,,42%,"₦ 35,806","₦ 61,705",Ladies Fashion High Heel Casual Leather Shoes-Black
,,41%,"₦ 13,980","₦ 23,800",MEN SUEDE FLOWER DESIGNERS SHOES BLACK
,,50%,"₦ 14,900","₦ 29,900",Flangesio Luxury Men's Formal Shoes High Quality Soft Leather Shoes For Men Comfort Elegant Business Footwear
2 out of 5(1),2 out of 5,40%,"₦ 5,999","₦ 9,999",Mens Casual Board Running Sneakers - 2023 Red
,,50%,"₦ 39,319","₦ 78,638",Men's Casual Martin Boots
,,,"₦ 20,000",,George Black 2 Strap Trainers
4.3 out of 5(4),4.3 out of 5,,"₦ 10,800",,Multifunctional Shoe Rack (6 Layers) /1
,,32%,"₦ 22,469","₦ 33,002",Long Spikes Color-blocking Professional Football Shoes Soccer Boots - Blue
,,50%,"₦ 18,225 - ₦ 25,025","₦ 36,450 - ₦ 50,050",Children's Shoes Martin Boots Campus Students' Shoes
4.1 out of 5(15),4.1 out of 5,30%,"₦ 22,500","₦ 32,027",Young Male Students All-match Gaobang Casual Sports Shoes
4.2 out of 5(5),4.2 out of 5,24%,"₦ 19,300 - ₦ 19,400","₦ 19,500 - ₦ 25,500",Phunshie Kids New Children Leather School Shoe For Girls - Black
,,37%,"₦ 6,300","₦ 9,900 - ₦ 9,990",Black Covered Slip-on Pam Slippers- With Centre Openings
,,23%,"₦ 33,559 - ₦ 35,078","₦ 43,467",Big Size 37-47 PU Leather Shoes Men Casual Moccasins-Black
,,34%,"₦ 26,348","₦ 39,900",New Business Dress Men's English Leather Shoes
,,31%,"₦ 40,080 - ₦ 40,480","₦ 58,222",Tassel Mens Formal Shoes Luxury Sequin Wedding Shoes Party Social Footwear Gold
,,50%,"₦ 15,900","₦ 31,700",Drawer Shoe Box Storage Transparent Shoe Box Factory Direct Dustproof Thickening Storage Box Plastic Box Household Items Pink
4 out of 5(1),4 out of 5,50%,"₦ 5,999","₦ 12,000",Back To School Sneakers - Female Canvas - White
3.7 out of 5(19),3.7 out of 5,48%,"₦ 19,653","₦ 37,764",Business Soft-soled Plaid Leather Shoes-P8822 Black
,,18%,"₦ 15,500","₦ 19,000",MANGO Quality Ladies Italian Shoes /Wine Colour
4 out of 5(1),4 out of 5,39%,"₦ 29,690 - ₦ 29,995","₦ 34,749 - ₦ 48,711",Men's Shoes Breathable Comfortable Casual Shoes(Gray）
,,48%,"₦ 30,900 - ₦ 32,652","₦ 59,200 - ₦ 62,704",Men's Italian Plus Size Smooth Leather Shoes Coffee Color
,,50%,"₦ 28,772 - ₦ 32,872","₦ 57,600 - ₦ 65,800","Boys, Girls And Children's Casual Trend Snow Boots-Yellow"
1 out of 5(1),1 out of 5,34%,"₦ 6,500","₦ 9,900",Special Men Palms
,,48%,"₦ 11,500","₦ 22,000",Executive Sturdy Boys Formal/school Shoe Black
,,42%,"₦ 31,930","₦ 55,052",Kids Leather Shoes Girls Wedding Dress Shoes Children Princess Flower Leather Sandals For Girls Casual Dance Shoes Flat Sandals Black
,,25%,"₦ 3,000","₦ 4,000",Girl Crocs- Black
,,,"₦ 1,800",,Anti Slip Baby Crawling Protector -Black
,,13%,"₦ 43,180","₦ 49,530",Boys/Adults Basketball Shoes Twist Button Sneakers Blue
3 out of 5(1),3 out of 5,53%,"₦ 13,850","₦ 29,500",New FLOWERS Designers BLACK
4.5 out of 5(2),4.5 out of 5,52%,"₦ 30,990 - ₦ 39,990","₦ 65,079 - ₦ 83,979",Men's Retro Fashion Hiking Shoes Casual Outdoor Shoes-Beige
4 out of 5(1),4 out of 5,48%,"₦ 10,500 - ₦ 14,000","₦ 20,000",Quality Mens Palm Slippers Black
,,,"₦ 9,500",,MEN SNEAKER
,,43%,"₦ 17,590","₦ 30,700",NEW DEPALLY PAT STONE DESIGNERS  SHOE BLACK
,,28%,"₦ 21,500 - ₦ 30,000","₦ 30,000",Unisex  Sneakers Boys/Girls Fashion-Black
,,45%,"₦ 46,000","₦ 83,636",XCST-BNZHO Classic Designer Monk Strap Dress Shoes For Men High Quality Slip On Leather Double Buckles Oxford Business Mens Work Office Shoes Casual Shoes Brown EUR Size 38-46
,,,"₦ 6,500",,Boys And Girls Leather School Shoe - Brown
,,,"₦ 6,800",,Newborn Baby Girls Bowknot Shoes - Nude
,,42%,"₦ 34,530","₦ 59,534",Kids Sandals For Girls Gladiator Flat Soft Sole Fashion Princess Children's Beach Sandals Pendant Zip Sweet Roman Sandals  Black
